"Name","Id","PriorityClass","FileVersion","HandleCount","WorkingSet","PagedMemorySize","PrivateMemorySize","VirtualMemorySize","TotalProcessorTime","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","UserProcessorTime","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","Site","Container"
"dllhost","7928","Normal","10.0.19041.546 (WinBuild.160101.0800)","204","6930432","3764224","3764224","130220032","00:00:00.0781250","0","204","2203448442880","6930432","3764224","17400","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.078125","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"4492","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","17400","17400","3764224","111792","111792","3923968","3923968","12267520","12267520","137134080","2203455356928","True","3764224","00:00:00.0468750","dllhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:03:45 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0312500","2203448442880","False",,,,"6930432",,
"dwm","1088","High","10.0.19041.1 (WinBuild.160101.0800)","1047","86601728","54226944","54226944","322125824","00:02:12.0781250","1","1047","2203640348672","86601728","54226944","56144","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","132.078125","10.0.19041.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"4148","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","56144","56144","54226944","547480","547480","77303808","77303808","137797632","137797632","369340416","2203687563264","True","54226944","00:00:52.8750000","dwm","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:19.2031250","2203640348672","False",,,,"86601728",,
"explorer","5648","Normal","10.0.19041.1023 (WinBuild.160101.0800)","2682","63496192","60653568","60653568","621993984","00:01:03.1250000","1","2682","2203940216832","63496192","60653568","112216","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","63.125","10.0.19041.1023","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"4228","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","65808","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","112216","112216","60653568","1085048","1085048","66170880","66170880","107720704","107720704","659480576","2203977703424","True","60653568","00:00:39.1250000","explorer","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:03 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:24","2203940216832","False",,,,"63496192",,
"fontdrvhost","984","Normal","10.0.19041.1165 (WinBuild.160101.0800)","32","5050368","6270976","6270976","245637120","00:00:00.9375000","1","32","2203563859968","5050368","6270976","11960","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.9375","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5520","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","11960","11960","6270976","352024","352024","16019456","16019456","28901376","28901376","548364288","2203866587136","True","6270976","00:00:00.5468750","fontdrvhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3906250","2203563859968","False",,,,"5050368",,
"fontdrvhost","988","Normal","10.0.19041.1165 (WinBuild.160101.0800)","32","2465792","1671168","1671168","68567040","00:00:00.0625000","0","32","2203386789888","2465792","1671168","5432","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.0625","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"5840","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5432","5432","1671168","36904","36904","1699840","1699840","3678208","3678208","69025792","2203387248640","True","1671168","00:00:00.0625000","fontdrvhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","2203386789888","False",,,,"2465792",,
"Idle","0",,,"0","8192","61440","61440","8192",,"0","0","8192","8192","61440","272",,,,,,,"Process","0",,,,,,".","0","",,,,,"272","272","61440","0","0","61440","61440","12288","12288","8192","8192",,"61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,"8192","False",,,,"8192",,
"LabOnDemand.HyperV.IntegrationService","5448","BelowNormal","1.0.7346.19388","262","1138688","22814720","22814720","661778432","00:00:00.2500000","1","262","4956745728","1138688","22814720","18184","C:\Program Files\Learn on Demand Systems\Lab on Demand Hyper-V Integration Service\LabOnDemand.HyperV.IntegrationService.exe","","0.25","1.0.7346.19388","Lab on Demand HyperV Integration Service","Lab on Demand HyperV Integration Service","Process","6",,"False",,"4872","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (LabOnDemand.HyperV.IntegrationService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18184","18184","22814720","421376","421376","23302144","23302144","24227840","24227840","668377088","4963344384","True","22814720","00:00:00.1718750","LabOnDemand.HyperV.IntegrationService","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 8:59:02 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0781250","4956745728","False",,,,"1138688",,
"lsass","824","Normal","10.0.19041.1266 (WinBuild.160101.0800)","1507","17977344","8605696","8605696","104247296","00:00:17.8906250","0","1507","2203422470144","17977344","8605696","33240","C:\WINDOWS\system32\lsass.exe","Microsoft Corporation","17.890625","10.0.19041.1266","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"5756","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33240","33240","8605696","171552","171552","9244672","9244672","24207360","24207360","107311104","2203425533952","True","8605696","00:00:08.2656250","lsass","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:10 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:09.6250000","2203422470144","False",,,,"17977344",,
"Memory Compression","2552",,,"0","166129664","811008","811008","363593728","00:00:45.8437500","0","0","363593728","166129664","811008","0",,,"45.84375",,,,"Process","8",,,,,,".","0","",,,,,"0","0","811008","4224","4224","811008","811008","223277056","223277056","378273792","378273792",,"811008","00:00:45.8437500","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 8:52:11 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","363593728","False",,,,"166129664",,
"Microsoft.Photos","5500","Normal","2019.19071.12540.00000","616","23650304","26882048","26882048","778215424","00:00:01.0781250","1","616","5073182720","23650304","26882048","38280","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation","1.078125","2019.19071.1254000000","Microsoft.Photos.exe","Microsoft Photos","Process","8",,"False",,"4248","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","38280","38280","26882048","502056","502056","28655616","28655616","59498496","59498496","783466496","5078433792","True","26882048","00:00:00.5625000","Microsoft.Photos","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 1:03:39 PM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.5156250","5073182720","False",,,,"23650304",,
