"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"dllhost","1","226","2203468083200","11767808","3485696","16584","C:\WINDOWS\system32\DllHost.exe","Microsoft Corporation","0.15625","10.0.19041.546 (WinBuild.160101.0800)","10.0.19041.546","COM Surrogate","Microsoft? Windows? Operating System","Process","8",,"False",,"6288","Microsoft.Win32.SafeHandles.SafeProcessHandle","226","7720",".","0","","System.Diagnostics.ProcessModule (DllHost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","16584","16584","3485696","3485696","145224","145224","5173248","5173248","13733888","13733888","158617600","2203476840448","True","Normal","3485696","3485696","00:00:00.1250000","dllhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:25 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.1562500","00:00:00.0312500","149860352","2203468083200","False",,,,"11767808","11767808",,
"dwm","1","969","2203581718528","62066688","37478400","48936","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","20.390625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"6832","Microsoft.Win32.SafeHandles.SafeProcessHandle","969","1096",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","48936","48936","37478400","37478400","465328","465328","38420480","38420480","65126400","65126400","268042240","2203586265088","True","High","37478400","37478400","00:00:07.6718750","dwm","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:20.3906250","00:00:12.7187500","263495680","2203581718528","False",,,,"62066688","62066688",,
"explorer","1","2438","2203911782400","57700352","53153792","98216","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","29.578125","10.0.19041.1023 (WinBuild.160101.0800)","10.0.19041.1023","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"6748","Microsoft.Win32.SafeHandles.SafeProcessHandle","2438","4400",".","65796","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","98216","98216","53153792","53153792","1029960","1029960","58261504","58261504","160706560","160706560","637898752","2203956121600","True","Normal","53153792","53153792","00:00:17.3750000","explorer","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:29.5781250","00:00:12.2031250","593559552","2203911782400","False",,,,"57700352","57700352",,
"fontdrvhost","0","32","2203386724352","2727936","1683456","5296","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.015625","10.0.19041.1165 (WinBuild.160101.0800)","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"6372","Microsoft.Win32.SafeHandles.SafeProcessHandle","32","984",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5296","5296","1683456","1683456","36776","36776","1740800","1740800","3809280","3809280","69550080","2203387772928","True","Normal","1683456","1683456","00:00:00.0156250","fontdrvhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","00:00:00","68501504","2203386724352","False",,,,"2727936","2727936",,
"fontdrvhost","1","32","2203414781952","9658368","6201344","20392","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.96875","10.0.19041.1165 (WinBuild.160101.0800)","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"7152","Microsoft.Win32.SafeHandles.SafeProcessHandle","32","992",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","20392","20392","6201344","6201344","60856","60856","16089088","16089088","28958720","28958720","548343808","2203866566656","True","Normal","6201344","6201344","00:00:00.5312500","fontdrvhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.9687500","00:00:00.4375000","96559104","2203414781952","False",,,,"9658368","9658368",,
"Idle","0","0","8192","8192","61440","272",,,,,,,,"Process","0",,,,,,"0","0",".","0","",,,,,"272","272","61440","61440","0","0","61440","61440","12288","12288","8192","8192",,,"61440","61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,,"8192","8192","False",,,,"8192","8192",,
"LabOnDemand.HyperV.IntegrationService","1","260","4956758016","1630208","22728704","18184","C:\Program Files\Learn on Demand Systems\Lab on Demand Hyper-V Integration Service\LabOnDemand.HyperV.IntegrationService.exe","","0.09375","1.0.7346.19388","1.0.7346.19388","Lab on Demand HyperV Integration Service","Lab on Demand HyperV Integration Service","Process","6",,"False",,"6488","Microsoft.Win32.SafeHandles.SafeProcessHandle","260","4832",".","0","","System.Diagnostics.ProcessModule (LabOnDemand.HyperV.IntegrationService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18184","18184","22728704","22728704","420000","420000","22900736","22900736","24203264","24203264","668024832","4962992128","True","BelowNormal","22728704","22728704","00:00:00.0468750","LabOnDemand.HyperV.IntegrationService","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0937500","00:00:00.0468750","661790720","4956758016","False",,,,"1630208","1630208",,
"lsass","0","1490","2203421945856","22843392","8208384","32736","C:\WINDOWS\system32\lsass.exe","Microsoft Corporation","10.5","10.0.19041.1266 (WinBuild.160101.0800)","10.0.19041.1266","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"5772","Microsoft.Win32.SafeHandles.SafeProcessHandle","1490","828",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32736","32736","8208384","8208384","170160","170160","8822784","8822784","24309760","24309760","106917888","2203425140736","True","Normal","8208384","8208384","00:00:05.0312500","lsass","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:10.5000000","00:00:05.4687500","103723008","2203421945856","False",,,,"22843392","22843392",,
"Memory Compression","0","0","147062784","94683136","528384","0",,,"15.859375",,,,,"Process","8",,,,,,"0","2572",".","0","",,,,,"0","0","528384","528384","4224","4224","552960","552960","168636416","168636416","248512512","248512512",,,"528384","528384","00:00:15.8593750","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:15.8593750","00:00:00","147062784","147062784","False",,,,"94683136","94683136",,
"Microsoft.Photos","1","584","5064495104","40648704","17203200","37464","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation","0.828125","2019.19071.12540.00000","2019.19071.1254000000","Microsoft.Photos.exe","Microsoft Photos","Process","8",,"False",,"5936","Microsoft.Win32.SafeHandles.SafeProcessHandle","584","488",".","0","","System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","37464","37464","17203200","17203200","498688","498688","17592320","17592320","46321664","46321664","769527808","5064495104","True","Normal","17203200","17203200","00:00:00.2031250","Microsoft.Photos","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:29:30 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8281250","00:00:00.6250000","769527808","5064495104","False",,,,"40648704","40648704",,
