"Name","Id","PriorityClass","FileVersion","HandleCount","WorkingSet","PagedMemorySize","PrivateMemorySize","VirtualMemorySize","TotalProcessorTime","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","UserProcessorTime","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","Site","Container"
"dsac","10144","Normal","10.0.19041.1","735","106496000","186699776","186699776","1062371328","00:00:41.6406250","1","735","5357338624","106496000","186699776","73080","C:\WINDOWS\system32\dsac.exe","Microsoft Corporation","41.640625","10.0.19041.1","Active Directory Administrative Center","Microsoft (R) Windows (R) Operating System","Process","8",,"False",,"4860","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","1573922","Active Directory Administrative Center","System.Diagnostics.ProcessModule (dsac.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","73080","73080","186699776","976640","976640","205885440","205885440","194150400","194150400","1090740224","5385707520","True","186699776","00:00:06.2343750","dsac","15","True","1","System.Diagnostics.ProcessStartInfo","3/18/2025 10:42:18 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:35.4062500","5357338624","False",,,,"106496000",,
"dwm","1096","High","10.0.19041.1 (WinBuild.160101.0800)","1040","59326464","36937728","36937728","291356672","00:01:36.5937500","1","1040","2203609579520","59326464","36937728","52608","C:\WINDOWS\system32\dwm.exe","Microsoft Corporation","96.59375","10.0.19041.1","Desktop Window Manager","Microsoft? Windows? Operating System","Process","13",,"False",,"4732","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (dwm.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","52608","52608","36937728","513632","513632","51200000","51200000","93216768","93216768","315785216","2203634008064","True","36937728","00:00:35.5468750","dwm","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:01:01.0468750","2203609579520","False",,,,"59326464",,
"explorer","4400","Normal","10.0.19041.1023 (WinBuild.160101.0800)","2443","96079872","58179584","58179584","652791808","00:01:09.2968750","1","2443","2203971014656","96079872","58179584","99544","C:\WINDOWS\Explorer.EXE","Microsoft Corporation","69.296875","10.0.19041.1023","Windows Explorer","Microsoft? Windows? Operating System","Process","8",,"False",,"3036","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","65796","","System.Diagnostics.ProcessModule (Explorer.EXE)","1413120","204800","System.Diagnostics.ProcessModuleCollection","99544","99544","58179584","1131736","1131736","66838528","66838528","160706560","160706560","702078976","2204020301824","True","58179584","00:00:42.6093750","explorer","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:05 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:26.6875000","2203971014656","False",,,,"96079872",,
"fontdrvhost","984","Normal","10.0.19041.1165 (WinBuild.160101.0800)","32","2662400","1683456","1683456","68567040","00:00:00.0312500","0","32","2203386789888","2662400","1683456","5432","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","0.03125","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"4452","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","5432","5432","1683456","36904","36904","1740800","1740800","3809280","3809280","69550080","2203387772928","True","1683456","00:00:00.0156250","fontdrvhost","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","2203386789888","False",,,,"2662400",,
"fontdrvhost","992","Normal","10.0.19041.1165 (WinBuild.160101.0800)","32","7028736","6819840","6819840","282427392","00:00:01.4531250","1","32","2203600650240","7028736","6819840","10464","C:\WINDOWS\system32\fontdrvhost.exe","Microsoft Corporation","1.453125","10.0.19041.1165","Usermode Font Driver Host","Microsoft? Windows? Operating System","Process","8",,"False",,"3744","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (fontdrvhost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10464","10464","6819840","423880","423880","16089088","16089088","28958720","28958720","548343808","2203866566656","True","6819840","00:00:00.6875000","fontdrvhost","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7656250","2203600650240","False",,,,"7028736",,
"Idle","0",,,"0","8192","61440","61440","8192",,"0","0","8192","8192","61440","272",,,,,,,"Process","0",,,,,,".","0","",,,,,"272","272","61440","0","0","61440","61440","12288","12288","8192","8192",,"61440",,"Idle",,"True","0","System.Diagnostics.ProcessStartInfo",,,"System.Diagnostics.ProcessThreadCollection",,"8192","False",,,,"8192",,
"LabOnDemand.HyperV.IntegrationService","4832","BelowNormal","1.0.7346.19388","262","3506176","22810624","22810624","661790720","00:00:00.2031250","1","262","4956758016","3506176","22810624","18184","C:\Program Files\Learn on Demand Systems\Lab on Demand Hyper-V Integration Service\LabOnDemand.HyperV.IntegrationService.exe","","0.203125","1.0.7346.19388","Lab on Demand HyperV Integration Service","Lab on Demand HyperV Integration Service","Process","6",,"False",,"3844","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (LabOnDemand.HyperV.IntegrationService.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18184","18184","22810624","421536","421536","23126016","23126016","24203264","24203264","668024832","4962992128","True","22810624","00:00:00.1406250","LabOnDemand.HyperV.IntegrationService","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:04 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0625000","4956758016","False",,,,"3506176",,
"lsass","828","Normal","10.0.19041.1266 (WinBuild.160101.0800)","1543","23224320","8843264","8843264","104771584","00:00:16.1718750","0","1543","2203422994432","23224320","8843264","33008","C:\WINDOWS\system32\lsass.exe","Microsoft Corporation","16.171875","10.0.19041.1266","Local Security Authority Process","Microsoft? Windows? Operating System","Process","9",,"False",,"2008","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (lsass.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","33008","33008","8843264","174256","174256","9449472","9449472","24309760","24309760","109408256","2203427631104","True","8843264","00:00:07.5937500","lsass","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:51 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:08.5781250","2203422994432","False",,,,"23224320",,
"Memory Compression","2572",,,"0","185655296","1003520","1003520","245628928","00:00:57.8281250","0","0","245628928","185655296","1003520","0",,,"57.828125",,,,"Process","8",,,,,,".","0","",,,,,"0","0","1003520","4224","4224","1019904","1019904","242794496","242794496","342753280","342753280",,"1003520","00:00:57.8281250","Memory Compression",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:18:52 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","245628928","False",,,,"185655296",,
"Microsoft.Photos","488","Normal","2019.19071.12540.00000","617","30744576","26927104","26927104","777838592","00:00:01.2187500","1","617","5072805888","30744576","26927104","38144","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19071.12548.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","Microsoft Corporation","1.21875","2019.19071.1254000000","Microsoft.Photos.exe","Microsoft Photos","Process","8",,"False",,"3196","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (Microsoft.Photos.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","38144","38144","26927104","499112","499112","28639232","28639232","56987648","56987648","779935744","5074903040","True","26927104","00:00:00.4218750","Microsoft.Photos","15","True","1","System.Diagnostics.ProcessStartInfo","3/17/2025 10:29:30 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.7968750","5072805888","False",,,,"30744576",,
"MicrosoftEdgeUpdate","8140","Normal","1.3.143.57","205","4177920","2031616","2031616","56479744","00:00:00.0625000","0","205","56479744","4177920","2031616","12752","C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe","Microsoft Corporation","0.0625","1.3.143.57","Microsoft Edge Update","Microsoft Edge Update","Process","8",,"False",,"5084","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (MicrosoftEdgeUpdate.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","12752","12752","2031616","109888","109888","2228224","2228224","10686464","10686464","61853696","61853696","True","2031616","00:00:00.0468750","MicrosoftEdgeUpdate","15","True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:21:29 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.0156250","56479744","False",,,,"4177920",,
"MoUsoCoreWorker","68","Normal","10.0.19041.1266 (WinBuild.160101.0800)","294","20926464","8773632","8773632","108392448","00:00:00.6875000","0","294","2203426615296","20926464","8773632","18328","C:\Windows\System32\mousocoreworker.exe","Microsoft Corporation","0.6875","10.0.19041.1266","MoUSO Core Worker Process","Microsoft? Windows? Operating System","Process","8",,"False",,"4712","Microsoft.Win32.SafeHandles.SafeProcessHandle",".","0","","System.Diagnostics.ProcessModule (mousocoreworker.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","18328","18328","8773632","137344","137344","10289152","10289152","24399872","24399872","133562368","2203451785216","True","8773632","00:00:00.3281250","MoUsoCoreWorker","15","True","0","System.Diagnostics.ProcessStartInfo","3/18/2025 9:25:36 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3593750","2203426615296","False",,,,"20926464",,
"MpCopyAccelerator","1856",,,"99","5529600","2809856","2809856","62210048","00:00:00.2031250","0","99","2203380432896","5529600","2809856","7248",,,"0.203125",,,,"Process","8",,,,,,".","0","",,,,,"7248","7248","2809856","51480","51480","2908160","2908160","6602752","6602752","63782912","2203382005760",,"2809856","00:00:00.2031250","MpCopyAccelerator",,"True","0","System.Diagnostics.ProcessStartInfo","3/17/2025 9:35:12 AM",,"System.Diagnostics.ProcessThreadCollection","00:00:00","2203380432896","False",,,,"5529600",,
